youtube_id,player,sex,club,view,gt_impact,pred_impact,impact_error_frames,impact_error_sec,gt_start,gt_end,pred_start,pred_end,tIoU,classification
-FfhI9yyFJk,LEXI THOMPSON,f,driver,down-the-line,335,116,219,7.307,275,380,56,161,0.0,FP/FN
-M5SITXMA2Y,CRISTIE KERR,f,driver,face-on,352,366,14,0.467,292,397,306,411,0.7647,TP
-wg8m-A0hx4,JENNY SHIN,f,driver,face-on,201,201,0,0.0,141,246,141,246,1.0,TP
-x6fBaulaWU,MINJEE LEE,f,driver,face-on,594,599,5,0.167,534,639,539,644,0.9091,TP
-zN7pkk0r4Q,RORY MCILROY,m,iron,down-the-line,551,1203,652,21.755,491,596,1143,1248,0.0,FP/FN
0JGU4PO9KHg,CRISTIE KERR,f,driver,down-the-line,673,678,5,0.167,613,718,618,723,0.9091,TP
0PuF8duUo1A,LEXI THOMPSON,f,iron,face-on,281,286,5,0.167,221,326,226,331,0.9091,TP
0aEZbcQlIm0,CHARLES HOWELL,m,driver,down-the-line,743,1131,388,12.946,683,788,1071,1135,0.0,FP/FN
0am0Cr3Q3-Y,KEN DUKE,m,driver,down-the-line,400,404,4,0.133,340,445,344,449,0.9266,TP
0eFgAUfHsEk,BERNHARD LANGER,m,driver,other,454,459,5,0.167,394,499,399,504,0.9091,TP
0fJeBnmMKUw,LYDIA KO,f,iron,face-on,829,833,4,0.133,769,874,773,878,0.9266,TP
0i8zZala36E,ARIYA JUTANUGARN,f,iron,down-the-line,344,446,102,3.403,284,389,386,491,0.0145,FP/FN
_9_gJ-GOwxw,TOMMY FLEETWOOD,m,iron,other,386,370,16,0.534,326,431,310,415,0.7355,TP
_C3AOgnp1-A,TIGER WOODS,m,fairway,other,651,311,340,11.345,591,696,251,356,0.0,FP/FN
_LCRjBY4508,HEE-WON HAN,f,driver,down-the-line,192,196,4,0.133,132,237,136,241,0.9266,TP
_MnmzCJCZRo,MO MARTIN,m,driver,down-the-line,484,470,14,0.467,424,529,410,515,0.7647,TP
__195BaMIGc,RICKIE FOWLER,m,iron,down-the-line,660,665,5,0.167,600,705,605,710,0.9091,TP
_fmzNxBEbj0,BOB TWAY,m,driver,other,407,412,5,0.167,347,452,352,457,0.9091,TP
_gOExwJm-GE,RORY SABBATINI,m,driver,other,523,527,4,0.133,463,568,467,572,0.9266,TP
_gb_suqFrC0,BOO WEEKLEY,m,fairway,other,426,430,4,0.133,366,471,370,475,0.9266,TP
_qtYF0FJBWo,IN-GEE CHUN,f,driver,face-on,609,613,4,0.133,549,654,553,658,0.9266,TP
_rFatlaZhEQ,MATT KUCHAR,m,driver,face-on,729,734,5,0.167,669,774,674,779,0.9091,TP
_t_grJlqR6A,PAUL CASEY,m,iron,other,983,1261,278,9.276,923,1028,1201,1306,0.0,FP/FN
_tkpPbeTYz4,VIJAY SINGH,m,driver,down-the-line,384,388,4,0.133,324,429,328,433,0.9266,TP
